ID,Nombre,Apellido,Email,Ciudad,Tipo Usuario,Engagement Score,Total Compras,CLV,Riesgo Churn
USER_000001,Celia,Delgado,usuario1@example.com,Iquitos,inactive,7.7051348544436795,0,0,100
USER_000002,Víctor,Salinas,usuario2@example.com,Miraflores,occasional,22.06836883655893,0,0,60
USER_000003,Nuria,Vargas,usuario3@example.com,Cajamarca,regular,36.92954961496282,1,64.88,0
USER_000004,María,Gómez,usuario4@example.com,Barranco,regular,44.501563747289005,2,304.82,0
USER_000005,Miguel,Romero,usuario5@example.com,Lince,occasional,23.265466763588634,0,0,60
USER_000006,Miriam,Vargas,usuario6@example.com,Rímac,regular,40.341962067322456,2,450.28,0
USER_000007,Javier,Zamora,usuario7@example.com,Juliaca,regular,39.31546724613632,2,375.55,0
USER_000008,Raúl,Rincón,usuario8@example.com,Sullana,vip,93.75959283102526,13,7322.98,0
USER_000009,Sofía,Cifuentes,usuario9@example.com,Mi Perú,regular,54.98956894306742,1,44.77,0
USER_000010,Teresa,Ramírez,usuario10@example.com,Piura,occasional,36.5346030536586,0,0,60
USER_000011,Elena,Navarro,usuario11@example.com,Barranco,regular,55.638280968175295,1,171.88,0
USER_000012,Joaquín,Márquez,usuario12@example.com,Jesús María,occasional,33.41223091330181,0,0,60
USER_000013,Pablo,Cabrera,usuario13@example.com,Breña,vip,77.19969019147754,15,4040.88,0
USER_000014,María,Ferrer,usuario14@example.com,Rímac,active,46.490865299840586,3,710.95,0
USER_000015,Carlos,Rojas,usuario15@example.com,Piura,inactive,5.157023880668745,0,0,100
USER_000016,Sergio,Valencia,usuario16@example.com,Ayacucho,vip,63.403886073757945,8,2395.21,0
USER_000017,María,Espinoza,usuario17@example.com,Tumbes,occasional,35.86231240192502,0,0,60
USER_000018,Sergio,Mejía,usuario18@example.com,Huaraz,inactive,6.272857302495663,0,0,60
USER_000019,Eva,Acosta,usuario19@example.com,Rímac,regular,54.786805253672696,2,274.3,0
USER_000020,Sara,Fernández,usuario20@example.com,Ica,active,65.32538180572287,5,1695.46,0
USER_000021,Nuria,Méndez,usuario21@example.com,Ica,active,53.54870712626435,6,1963.95,0
USER_000022,Sofía,Montoya,usuario22@example.com,Breña,regular,56.38238134421234,2,244.07,0
USER_000023,Clara,Torres,usuario23@example.com,Santiago de Surco,inactive,0,0,0,100
USER_000024,Iván,Ocampo,usuario24@example.com,La Molina,regular,39.825832539809,1,269.31,0
USER_000025,Luis,Suárez,usuario25@example.com,Arequipa,inactive,10.525104471822033,0,0,90
USER_000026,Yolanda,Carrillo,usuario26@example.com,Chimbote,regular,29.021162786119675,2,419.35,0
USER_000027,Jorge,Rojas,usuario27@example.com,Mi Perú,regular,66.53116306645745,2,267.82,0
USER_000028,Raúl,Tapia,usuario28@example.com,Jesús María,regular,69.85154146548284,2,571.79,0
USER_000029,Silvia,Acosta,usuario29@example.com,Moquegua,inactive,8.812011171857886,0,0,40
USER_000030,Juan,Silva,usuario30@example.com,Breña,vip,79.73268913579595,11,4192.7,0
USER_000031,Carmen,Romero,usuario31@example.com,Tumbes,inactive,3.1132290241183975,0,0,100
USER_000032,Natalia,Navarro,usuario32@example.com,Iquitos,inactive,0.5991955547222281,0,0,100
USER_000033,Miriam,Valencia,usuario33@example.com,Mi Perú,inactive,0,0,0,100
USER_000034,Celia,Bravo,usuario34@example.com,Moquegua,occasional,24.7124976322104,0,0,60
USER_000035,Inés,Sáenz,usuario35@example.com,Huaraz,regular,34.45776227875456,1,245.84,0
USER_000036,Silvia,García,usuario36@example.com,Tacna,occasional,36.269013465387545,0,0,60
USER_000037,María,Gómez,usuario37@example.com,Barranco,inactive,7.599521710841326,0,0,100
USER_000038,Beatriz,Hernández,usuario38@example.com,Lince,regular,32.98169115500901,1,134.63,0
USER_000039,Mónica,Benítez,usuario39@example.com,Tacna,regular,25.879879644032222,1,101.52,0
USER_000040,Iván,Delgado,usuario40@example.com,Miraflores,inactive,1.0152951323217678,0,0,60
USER_000041,Verónica,Lara,usuario41@example.com,La Punta,occasional,14.632194521195505,0,0,50
USER_000042,Elisa,Lara,usuario42@example.com,San Isidro,occasional,36.276122496277786,0,0,60
USER_000043,Joaquín,Sánchez,usuario43@example.com,Tacna,occasional,32.16467238444452,0,0,60
USER_000044,Julia,Cifuentes,usuario44@example.com,Miraflores,active,71.33526363782659,3,609.93,0
